#;Player;Pos;Club;Birthplace;Birthday;Age;MJ;Min;Goals
24;Ali Abdi;DF;2.fr Caen;Sfax, Tunisia;1993-12-20;28-335;3;188;0
22;Bechir Ben Saïd;GB;1.tn US Monastir;Gabès, Tunisia;1992-11-29;29-356;0;;
25;Anis Ben Slimane;MT;1.dk Brøndby;Copenhagen, Denmark;2001-03-16;21-249;2;148;0
6;Dylan Bronn;DF;1.it Salernitana;Cannes, France;1995-06-19;27-154;2;162;0
18;Ghaylène Chaalali;MT;1.tn Espérance de Tunis;Manouba, Tunisia;1994-02-28;28-265;1;17;0
16;Aymen Dahmen;GB;1.tn CS Sfaxien;Sfax, Tunisia;1997-01-28;25-296;3;270;0
20;Mohamed Dräger;DF;1.ch Luzern;Freiburg, Germany;1996-06-25;26-148;2;132;0
5;Nader Ghandri;DF;1.tn Club Africain;Aubervilliers, France;1995-02-18;27-275;1;90;0
26;Mouez Hassen;GB;1.tn Club Africain;Fréjus, France;1995-03-05;27-260;0;;
2;Bilel Ifa;DF;1.kw Kuwait SC;Ariana, Tunisia;1990-03-09;32-256;0;;
19;Seifeddine Jaziri;AT;1.eg Zamalek SC;Délégation de la Médina, Tunisia;1993-02-12;29-281;0;;
9;Issam Jebali;AT;1.dk Odense;Medjez el Bab, Tunisia;1991-12-25;30-330;3;182;0
21;Wajdi Kechrida;DF;1.gr Atromitos;Nice, France;1995-11-05;27-015;3;111;0
10;Wahbi Khazri;AT,MT;1.fr Montpellier;Ajaccio, France;1991-02-08;31-285;2;83;1
14;Aïssa Laïdouni;MT;1.hu Ferencváros;Montfermeil, France;1996-12-13;25-342;3;243;0
12;Ali Maâloul;DF;1.eg Al Ahly SC;Sfax, Tunisia;1990-01-01;32-323;1;90;0
1;Aymen Mathlouthi;GB;1.tn Étoile du Sahel;Tunis, Tunisia;1984-09-14;38-067;0;;
8;Hannibal Mejbri;MT;2.eng Birmingham City;Ivry-sur-Seine, France;2003-01-21;19-303;1;11;0
4;Yassine Meriah;DF;1.tn Espérance de Tunis;Tunis, Tunisia;1993-07-02;29-141;3;270;0
7;Youssef Msakni;MT,AT;1.qa Al-Arabi SC;Tunis, Tunisia;1990-10-28;32-023;2;169;0
15;Mohamed Ali Ben Romdhane;MT;1.tn Espérance de Tunis;Tunis, Tunisia;1999-09-06;23-075;1;73;0
13;Ferjani Sassi;MT,DF;1.qa Al Duhail SC;Ariana, Tunisia;1992-03-18;30-247;2;48;0
17;Ellyes Skhiri;MT;1.de Köln;Lunel, France;1995-05-10;27-194;3;270;0
23;Naïm Sliti;MT,AT;1.sa Al-Ettifaq;Marseille, France;1992-07-27;30-116;2;114;0
3;Montassar Talbi;DF;1.fr Lorient;Paris, France;1998-05-26;24-178;3;270;0
11;Taha Yassine Khenissi;AT;1.kw Kuwait SC;Zarzis, Tunisia;1992-01-06;30-318;2;29;0
